Provinsi,Kabupaten,Kecamatan,Bulan,Luas_Tanam,Luas_Panen,Bulan_Angka,Fase_Vegetatif_Est,Fase_Generatif_Est,Fase_Siap_Panen_Est
Jawa Tengah,Demak,Wedung,September,73.8,2571.18,9,11.47,31.48,681.28
Jawa Tengah,Demak,Wedung,Oktober,1548.37,414.83,10,73.8,11.47,31.48
Jawa Tengah,Demak,Wedung,November,841.15,35.05,11,1548.37,73.8,11.47
Jawa Tengah,Demak,Wedung,Desember,2435.83,12.25,12,841.15,1548.37,73.8
Jawa Tengah,Demak,Wonosalam,April,1160.49,121.33,4,2453.92,85.51,32.93
Jawa Tengah,Demak,Wonosalam,Mei,13.04,32.64,5,1160.49,2453.92,85.51
Jawa Tengah,Demak,Wonosalam,Juni,10.04,621.3,6,13.04,1160.49,2453.92
Jawa Tengah,Demak,Wonosalam,Juli,854.76,2282.6,7,10.04,13.04,1160.49
Jawa Tengah,Demak,Wonosalam,Agustus,326.81,731.31,8,854.76,10.04,13.04
Jawa Tengah,Demak,Wonosalam,September,60.36,15.42,9,326.81,854.76,10.04
Jawa Tengah,Demak,Wonosalam,Oktober,1998.36,219.26,10,60.36,326.81,854.76
Jawa Tengah,Demak,Wonosalam,November,785.86,883.97,11,1998.36,60.36,326.81
Jawa Tengah,Demak,Wonosalam,Desember,631.15,94.36,12,785.86,1998.36,60.36
Jawa Tengah,Grobogan,Brati,April,1732.42,143.17,4,353.22,13.38,58.26
Jawa Tengah,Grobogan,Brati,Mei,203.94,34.95,5,1732.42,353.22,13.38
Jawa Tengah,Grobogan,Brati,Juni,26.44,60.61,6,203.94,1732.42,353.22
Jawa Tengah,Grobogan,Brati,Juli,44.91,618.85,7,26.44,203.94,1732.42
Jawa Tengah,Grobogan,Brati,Agustus,94.29,1513.83,8,44.91,26.44,203.94
Jawa Tengah,Grobogan,Brati,September,224.64,128.8,9,94.29,44.91,26.44
Jawa Tengah,Grobogan,Brati,Oktober,1175.47,37.4,10,224.64,94.29,44.91
Jawa Tengah,Grobogan,Brati,November,739.36,54.94,11,1175.47,224.64,94.29
Jawa Tengah,Grobogan,Brati,Desember,247.82,96.77,12,739.36,1175.47,224.64
Jawa Tengah,Grobogan,Gabus,April,895.84,1477.59,4,726.55,257.42,744.54
Jawa Tengah,Grobogan,Gabus,Mei,71.79,683.85,5,895.84,726.55,257.42
Jawa Tengah,Grobogan,Gabus,Juni,82.66,851.49,6,71.79,895.84,726.55
Jawa Tengah,Grobogan,Gabus,Juli,852.82,653.62,7,82.66,71.79,895.84
Jawa Tengah,Grobogan,Gabus,Agustus,584.16,361.14,8,852.82,82.66,71.79
Jawa Tengah,Grobogan,Gabus,September,314.69,188.93,9,584.16,852.82,82.66
Jawa Tengah,Grobogan,Gabus,Oktober,674.72,457.6,10,314.69,584.16,852.82
Jawa Tengah,Grobogan,Gabus,November,2478.52,689.87,11,674.72,314.69,584.16
Jawa Tengah,Grobogan,Gabus,Desember,873.59,316.85,12,2478.52,674.72,314.69
Jawa Tengah,Grobogan,Geyer,April,274.21,815.49,4,589.89,389.25,891.25
Jawa Tengah,Grobogan,Geyer,Mei,27.62,746.65,5,274.21,589.89,389.25
Jawa Tengah,Grobogan,Geyer,Juni,140.69,776.9,6,27.62,274.21,589.89
Jawa Tengah,Grobogan,Geyer,Juli,688.38,317.22,7,140.69,27.62,274.21
Jawa Tengah,Grobogan,Geyer,Agustus,432.49,119.93,8,688.38,140.69,27.62
Jawa Tengah,Grobogan,Geyer,September,283.12,93.09,9,432.49,688.38,140.69
Jawa Tengah,Grobogan,Geyer,Oktober,188.7,323.05,10,283.12,432.49,688.38
Jawa Tengah,Grobogan,Geyer,November,974.26,705.97,11,188.7,283.12,432.49
Jawa Tengah,Grobogan,Geyer,Desember,818.45,245.21,12,974.26,188.7,283.12
Jawa Tengah,Grobogan,Godong,April,4130.34,1048.12,4,1239.09,5.45,80.29
Jawa Tengah,Grobogan,Godong,Mei,1266.19,10.76,5,4130.34,1239.09,5.45
Jawa Tengah,Grobogan,Godong,Juni,10.92,28.76,6,1266.19,4130.34,1239.09
Jawa Tengah,Grobogan,Godong,Juli,7.56,1714.11,7,10.92,1266.19,4130.34
Jawa Tengah,Grobogan,Godong,Agustus,7.02,3999.75,8,7.56,10.92,1266.19
Jawa Tengah,Grobogan,Godong,September,50.34,904.9,9,7.02,7.56,10.92
Jawa Tengah,Grobogan,Godong,Oktober,3917.4,7.36,10,50.34,7.02,7.56
Jawa Tengah,Grobogan,Godong,November,2560.71,5.72,11,3917.4,50.34,7.02
Jawa Tengah,Grobogan,Godong,Desember,103.5,7.61,12,2560.71,3917.4,50.34
Jawa Tengah,Grobogan,Grobogan,April,439.31,181.61,4,1379.37,48.08,117.9
Jawa Tengah,Grobogan,Grobogan,Mei,26.25,97.68,5,439.31,1379.37,48.08
Jawa Tengah,Grobogan,Grobogan,Juni,21.54,433.73,6,26.25,439.31,1379.37
Jawa Tengah,Grobogan,Grobogan,Juli,295.63,1262.35,7,21.54,26.25,439.31
Jawa Tengah,Grobogan,Grobogan,Agustus,165.83,178.27,8,295.63,21.54,26.25
Jawa Tengah,Grobogan,Grobogan,September,185.91,50.46,9,165.83,295.63,21.54
Jawa Tengah,Grobogan,Grobogan,Oktober,1384.18,147.82,10,185.91,165.83,295.63
Jawa Tengah,Grobogan,Grobogan,November,1039.97,240.69,11,1384.18,185.91,165.83
Jawa Tengah,Grobogan,Grobogan,Desember,664.42,103.58,12,1039.97,1384.18,185.91
Jawa Tengah,Grobogan,Gubug,April,815.02,1118.82,4,776.79,18.41,439.88
Jawa Tengah,Grobogan,Gubug,Mei,1401.53,274.64,5,815.02,776.79,18.41
Jawa Tengah,Grobogan,Gubug,Juni,793.31,39.18,6,1401.53,815.02,776.79
Jawa Tengah,Grobogan,Gubug,Juli,83.98,862.9,7,793.31,1401.53,815.02
Jawa Tengah,Grobogan,Gubug,Agustus,43.4,872.41,8,83.98,793.31,1401.53
Jawa Tengah,Grobogan,Gubug,September,67.46,1370.79,9,43.4,83.98,793.31
Jawa Tengah,Grobogan,Gubug,Oktober,1108.89,682.66,10,67.46,43.4,83.98
Jawa Tengah,Grobogan,Gubug,November,1450.23,69.3,11,1108.89,67.46,43.4
Jawa Tengah,Grobogan,Gubug,Desember,1106.86,29.71,12,1450.23,1108.89,67.46
Jawa Tengah,Grobogan,Karangrayung,April,1621.4,677.13,4,508.12,418.18,149.87
Jawa Tengah,Grobogan,Karangrayung,Mei,860.06,134.63,5,1621.4,508.12,418.18
Jawa Tengah,Grobogan,Karangrayung,Juni,99.37,624.3,6,860.06,1621.4,508.12
Jawa Tengah,Grobogan,Karangrayung,Juli,174.44,549.0,7,99.37,860.06,1621.4
Jawa Tengah,Grobogan,Karangrayung,Agustus,81.32,1649.49,8,174.44,99.37,860.06
Jawa Tengah,Grobogan,Karangrayung,September,448.21,600.69,9,81.32,174.44,99.37
Jawa Tengah,Grobogan,Karangrayung,Oktober,1865.57,118.06,10,448.21,81.32,174.44
Jawa Tengah,Grobogan,Karangrayung,November,1430.11,158.56,11,1865.57,448.21,81.32
Jawa Tengah,Grobogan,Karangrayung,Desember,242.58,163.52,12,1430.11,1865.57,448.21
Jawa Tengah,Grobogan,Kedungjati,April,219.13,76.87,4,206.48,21.95,50.7
Jawa Tengah,Grobogan,Kedungjati,Mei,44.45,37.31,5,219.13,206.48,21.95
Jawa Tengah,Grobogan,Kedungjati,Juni,13.75,114.84,6,44.45,219.13,206.48
Jawa Tengah,Grobogan,Kedungjati,Juli,131.88,189.77,7,13.75,44.45,219.13
Jawa Tengah,Grobogan,Kedungjati,Agustus,175.41,143.97,8,131.88,13.75,44.45
Jawa Tengah,Grobogan,Kedungjati,September,198.76,32.23,9,175.41,131.88,13.75
Jawa Tengah,Grobogan,Kedungjati,Oktober,62.55,38.91,10,198.76,175.41,131.88
Jawa Tengah,Grobogan,Kedungjati,November,174.78,180.15,11,62.55,198.76,175.41
Jawa Tengah,Grobogan,Kedungjati,Desember,147.56,177.9,12,174.78,62.55,198.76
Jawa Tengah,Grobogan,Klambu,April,1772.36,269.15,4,522.74,6.88,23.82
Jawa Tengah,Grobogan,Klambu,Mei,162.7,10.72,5,1772.36,522.74,6.88
Jawa Tengah,Grobogan,Klambu,Juni,7.29,55.68,6,162.7,1772.36,522.74
Jawa Tengah,Grobogan,Klambu,Juli,8.62,772.14,7,7.29,162.7,1772.36
Jawa Tengah,Grobogan,Klambu,Agustus,30.22,1545.88,8,8.62,7.29,162.7
Jawa Tengah,Grobogan,Klambu,September,348.41,95.54,9,30.22,8.62,7.29
Jawa Tengah,Grobogan,Klambu,Oktober,1721.21,5.69,10,348.41,30.22,8.62
Jawa Tengah,Grobogan,Klambu,November,413.94,8.3,11,1721.21,348.41,30.22
Jawa Tengah,Grobogan,Klambu,Desember,14.1,22.99,12,413.94,1721.21,348.41
Jawa Tengah,Grobogan,Kradenan,April,603.59,1498.4,4,988.31,195.65,682.86
Jawa Tengah,Grobogan,Kradenan,Mei,48.36,630.0,5,603.59,988.31,195.65
Jawa Tengah,Grobogan,Kradenan,Juni,29.66,608.3,6,48.36,603.59,988.31
Jawa Tengah,Grobogan,Kradenan,Juli,727.29,925.84,7,29.66,48.36,603.59
Jawa Tengah,Grobogan,Kradenan,Agustus,633.77,245.6,8,727.29,29.66,48.36
Jawa Tengah,Grobogan,Kradenan,September,204.71,67.27,9,633.77,727.29,29.66
Jawa Tengah,Grobogan,Kradenan,Oktober,529.76,360.44,10,204.71,633.77,727.29
Jawa Tengah,Grobogan,Kradenan,November,2170.99,785.87,11,529.76,204.71,633.77
Jawa Tengah,Grobogan,Kradenan,Desember,1127.76,234.74,12,2170.99,529.76,204.71
Jawa Tengah,Grobogan,Ngaringan,April,336.19,1157.85,4,1431.7,995.52,478.75
Jawa Tengah,Grobogan,Ngaringan,Mei,46.2,496.42,5,336.19,1431.7,995.52
Jawa Tengah,Grobogan,Ngaringan,Juni,219.92,1940.95,6,46.2,336.19,1431.7
Jawa Tengah,Grobogan,Ngaringan,Juli,899.58,674.69,7,219.92,46.2,336.19
Jawa Tengah,Grobogan,Ngaringan,Agustus,300.84,106.02,8,899.58,219.92,46.2
Jawa Tengah,Grobogan,Ngaringan,September,362.42,210.85,9,300.84,899.58,219.92
Jawa Tengah,Grobogan,Ngaringan,Oktober,1029.56,533.8,10,362.42,300.84,899.58
Jawa Tengah,Grobogan,Ngaringan,November,2585.64,577.7,11,1029.56,362.42,300.84
Jawa Tengah,Grobogan,Ngaringan,Desember,851.89,179.87,12,2585.64,1029.56,362.42
Jawa Tengah,Grobogan,Penawangan,April,3417.25,636.13,4,429.32,21.14,28.87
Jawa Tengah,Grobogan,Penawangan,Mei,541.35,14.51,5,3417.25,429.32,21.14
Jawa Tengah,Grobogan,Penawangan,Juni,16.63,92.41,6,541.35,3417.25,429.32
Jawa Tengah,Grobogan,Penawangan,Juli,60.4,1005.13,7,16.63,541.35,3417.25
Jawa Tengah,Grobogan,Penawangan,Agustus,30.97,3080.03,8,60.4,16.63,541.35
Jawa Tengah,Grobogan,Penawangan,September,185.94,245.51,9,30.97,60.4,16.63
Jawa Tengah,Grobogan,Penawangan,Oktober,3489.95,43.57,10,185.94,30.97,60.4
Jawa Tengah,Grobogan,Penawangan,November,875.38,24.07,11,3489.95,185.94,30.97
Jawa Tengah,Grobogan,Penawangan,Desember,64.73,28.5,12,875.38,3489.95,185.94
Jawa Tengah,Grobogan,Pulokulon,April,441.83,2367.17,4,703.12,214.21,980.89
Jawa Tengah,Grobogan,Pulokulon,Mei,75.96,836.94,5,441.83,703.12,214.21
Jawa Tengah,Grobogan,Pulokulon,Juni,276.49,677.26,6,75.96,441.83,703.12
Jawa Tengah,Grobogan,Pulokulon,Juli,811.02,465.15,7,276.49,75.96,441.83
Jawa Tengah,Grobogan,Pulokulon,Agustus,366.65,203.58,8,811.02,276.49,75.96
Jawa Tengah,Grobogan,Pulokulon,September,435.0,308.5,9,366.65,811.02,276.49
Jawa Tengah,Grobogan,Pulokulon,Oktober,1364.41,494.13,10,435.0,366.65,811.02
Jawa Tengah,Grobogan,Pulokulon,November,2380.29,551.5,11,1364.41,435.0,366.65
Jawa Tengah,Grobogan,Pulokulon,Desember,989.0,179.72,12,2380.29,1364.41,435.0
Jawa Tengah,Grobogan,Purwodadi,April,2811.05,813.47,4,787.06,35.64,170.51
Jawa Tengah,Grobogan,Purwodadi,Mei,161.44,120.6,5,2811.05,787.06,35.64
Jawa Tengah,Grobogan,Purwodadi,Juni,86.78,148.37,6,161.44,2811.05,787.06
Jawa Tengah,Grobogan,Purwodadi,Juli,119.44,1229.54,7,86.78,161.44,2811.05
Jawa Tengah,Grobogan,Purwodadi,Agustus,74.31,2325.31,8,119.44,86.78,161.44
Jawa Tengah,Grobogan,Purwodadi,September,128.9,154.26,9,74.31,119.44,86.78
Jawa Tengah,Grobogan,Purwodadi,Oktober,2546.79,119.46,10,128.9,74.31,119.44
Jawa Tengah,Grobogan,Purwodadi,November,1548.78,67.02,11,2546.79,128.9,74.31
Jawa Tengah,Grobogan,Purwodadi,Desember,325.39,41.66,12,1548.78,2546.79,128.9
Jawa Tengah,Grobogan,Tanggungharjo,April,151.24,633.04,4,62.5,15.41,89.24
Jawa Tengah,Grobogan,Tanggungharjo,Mei,817.22,38.9,5,151.24,62.5,15.41
Jawa Tengah,Grobogan,Tanggungharjo,Juni,445.52,73.41,6,817.22,151.24,62.5
Jawa Tengah,Grobogan,Tanggungharjo,Juli,134.85,101.88,7,445.52,817.22,151.24
Jawa Tengah,Grobogan,Tanggungharjo,Agustus,142.09,157.28,8,134.85,445.52,817.22
Jawa Tengah,Grobogan,Tanggungharjo,September,410.57,814.09,9,142.09,134.85,445.52
Jawa Tengah,Grobogan,Tanggungharjo,Oktober,227.64,379.19,10,410.57,142.09,134.85
Jawa Tengah,Grobogan,Tanggungharjo,November,340.73,123.12,11,227.64,410.57,142.09
Jawa Tengah,Grobogan,Tanggungharjo,Desember,847.56,190.51,12,340.73,227.64,410.57
Jawa Tengah,Grobogan,Tawangharjo,April,324.53,197.79,4,1615.29,80.48,101.66
Jawa Tengah,Grobogan,Tawangharjo,Mei,13.96,94.18,5,324.53,1615.29,80.48
Jawa Tengah,Grobogan,Tawangharjo,Juni,27.95,757.68,6,13.96,324.53,1615.29
Jawa Tengah,Grobogan,Tawangharjo,Juli,288.44,1135.93,7,27.95,13.96,324.53
Jawa Tengah,Grobogan,Tawangharjo,Agustus,102.09,124.63,8,288.44,27.95,13.96
Jawa Tengah,Grobogan,Tawangharjo,September,254.95,59.87,9,102.09,288.44,27.95
Jawa Tengah,Grobogan,Tawangharjo,Oktober,1423.0,145.32,10,254.95,102.09,288.44
Jawa Tengah,Grobogan,Tawangharjo,November,1065.36,180.88,11,1423.0,254.95,102.09
Jawa Tengah,Grobogan,Tawangharjo,Desember,342.73,98.04,12,1065.36,1423.0,254.95
Jawa Tengah,Grobogan,Tegowanu,April,1006.78,687.18,4,1167.69,12.71,280.47
Jawa Tengah,Grobogan,Tegowanu,Mei,1108.34,41.46,5,1006.78,1167.69,12.71
Jawa Tengah,Grobogan,Tegowanu,Juni,128.49,38.38,6,1108.34,1006.78,1167.69
Jawa Tengah,Grobogan,Tegowanu,Juli,90.81,1318.21,7,128.49,1108.34,1006.78
Jawa Tengah,Grobogan,Tegowanu,Agustus,62.26,1164.42,8,90.81,128.49,1108.34
Jawa Tengah,Grobogan,Tegowanu,September,239.11,838.47,9,62.26,90.81,128.49
Jawa Tengah,Grobogan,Tegowanu,Oktober,1339.58,95.17,10,239.11,62.26,90.81
Jawa Tengah,Grobogan,Tegowanu,November,890.19,75.87,11,1339.58,239.11,62.26
Jawa Tengah,Grobogan,Tegowanu,Desember,985.36,84.33,12,890.19,1339.58,239.11
Jawa Tengah,Grobogan,Toroh,April,2407.22,1058.87,4,729.79,270.61,773.12
Jawa Tengah,Grobogan,Toroh,Mei,218.72,620.11,5,2407.22,729.79,270.61
Jawa Tengah,Grobogan,Toroh,Juni,144.17,475.54,6,218.72,2407.22,729.79
Jawa Tengah,Grobogan,Toroh,Juli,284.46,1139.1,7,144.17,218.72,2407.22
Jawa Tengah,Grobogan,Toroh,Agustus,351.49,1845.16,8,284.46,144.17,218.72
Jawa Tengah,Grobogan,Toroh,September,459.72,140.4,9,351.49,284.46,144.17
Jawa Tengah,Grobogan,Toroh,Oktober,2484.36,251.67,10,459.72,351.49,284.46
Jawa Tengah,Grobogan,Toroh,November,1000.61,425.34,11,2484.36,459.72,351.49
Jawa Tengah,Grobogan,Toroh,Desember,605.05,264.18,12,1000.61,2484.36,459.72
Jawa Tengah,Grobogan,Wirosari,April,932.38,1451.85,4,1298.65,150.08,713.37
Jawa Tengah,Grobogan,Wirosari,Mei,49.02,640.61,5,932.38,1298.65,150.08
Jawa Tengah,Grobogan,Wirosari,Juni,51.71,692.75,6,49.02,932.38,1298.65
Jawa Tengah,Grobogan,Wirosari,Juli,1066.86,1329.59,7,51.71,49.02,932.38
Jawa Tengah,Grobogan,Wirosari,Agustus,612.75,360.86,8,1066.86,51.71,49.02
Jawa Tengah,Grobogan,Wirosari,September,526.74,100.15,9,612.75,1066.86,51.71
Jawa Tengah,Grobogan,Wirosari,Oktober,526.22,567.49,10,526.74,612.75,1066.86
Jawa Tengah,Grobogan,Wirosari,November,2423.96,890.45,11,526.22,526.74,612.75
Jawa Tengah,Grobogan,Wirosari,Desember,1353.37,358.42,12,2423.96,526.22,526.74
Jawa Tengah,Jepara,Bangsri,April,304.82,486.87,4,156.51,208.11,962.0
Jawa Tengah,Jepara,Bangsri,Mei,502.58,581.68,5,304.82,156.51,208.11
Jawa Tengah,Jepara,Bangsri,Juni,182.3,303.61,6,502.58,304.82,156.51
Jawa Tengah,Jepara,Bangsri,Juli,198.13,263.53,7,182.3,502.58,304.82
Jawa Tengah,Jepara,Bangsri,Agustus,394.58,239.57,8,198.13,182.3,502.58
Jawa Tengah,Jepara,Bangsri,September,502.53,381.83,9,394.58,198.13,182.3
Jawa Tengah,Jepara,Bangsri,Oktober,138.33,198.53,10,502.53,394.58,198.13
Jawa Tengah,Jepara,Bangsri,November,142.31,354.62,11,138.33,502.53,394.58
Jawa Tengah,Jepara,Bangsri,Desember,283.44,408.36,12,142.31,138.33,502.53
Jawa Tengah,Jepara,Batealit,April,294.72,151.67,4,295.58,162.39,264.46
Jawa Tengah,Jepara,Batealit,Mei,138.11,190.01,5,294.72,295.58,162.39
Jawa Tengah,Jepara,Batealit,Juni,30.26,327.99,6,138.11,294.72,295.58
Jawa Tengah,Jepara,Batealit,Juli,182.25,288.87,7,30.26,138.11,294.72
Jawa Tengah,Jepara,Batealit,Agustus,293.23,178.65,8,182.25,30.26,138.11
Jawa Tengah,Jepara,Batealit,September,543.66,82.01,9,293.23,182.25,30.26
Jawa Tengah,Jepara,Batealit,Oktober,244.14,67.65,10,543.66,293.23,182.25
Jawa Tengah,Jepara,Batealit,November,142.21,257.35,11,244.14,543.66,293.23
Jawa Tengah,Jepara,Batealit,Desember,288.83,281.44,12,142.21,244.14,543.66
Jawa Tengah,Jepara,Donorojo,April,84.35,422.4,4,101.18,213.58,839.12
Jawa Tengah,Jepara,Donorojo,Mei,485.67,600.95,5,84.35,101.18,213.58
Jawa Tengah,Jepara,Donorojo,Juni,201.63,195.54,6,485.67,84.35,101.18
Jawa Tengah,Jepara,Donorojo,Juli,94.96,137.75,7,201.63,485.67,84.35
Jawa Tengah,Jepara,Donorojo,Agustus,243.99,249.36,8,94.96,201.63,485.67
Jawa Tengah,Jepara,Donorojo,September,655.9,293.22,9,243.99,94.96,201.63
Jawa Tengah,Jepara,Donorojo,Oktober,269.83,172.45,10,655.9,243.99,94.96
Jawa Tengah,Jepara,Donorojo,November,260.28,237.45,11,269.83,655.9,243.99
Jawa Tengah,Jepara,Donorojo,Desember,164.5,385.23,12,260.28,269.83,655.9
Jawa Tengah,Jepara,Jepara,April,41.61,164.4,4,11.13,8.25,102.41
Jawa Tengah,Jepara,Jepara,Mei,158.03,33.52,5,41.61,11.13,8.25
Jawa Tengah,Jepara,Jepara,Juni,14.58,12.67,6,158.03,41.61,11.13
Jawa Tengah,Jepara,Jepara,Juli,13.26,22.61,7,14.58,158.03,41.61
Jawa Tengah,Jepara,Jepara,Agustus,33.06,94.67,8,13.26,14.58,158.03
Jawa Tengah,Jepara,Jepara,September,73.85,92.3,9,33.06,13.26,14.58
Jawa Tengah,Jepara,Jepara,Oktober,12.95,13.5,10,73.85,33.06,13.26
Jawa Tengah,Jepara,Jepara,November,9.18,28.7,11,12.95,73.85,33.06
Jawa Tengah,Jepara,Jepara,Desember,71.6,51.04,12,9.18,12.95,73.85
Jawa Tengah,Jepara,Kalinyamatan,April,337.26,552.92,4,49.02,42.52,164.39
Jawa Tengah,Jepara,Kalinyamatan,Mei,560.35,65.86,5,337.26,49.02,42.52
Jawa Tengah,Jepara,Kalinyamatan,Juni,35.45,55.06,6,560.35,337.26,49.02
Jawa Tengah,Jepara,Kalinyamatan,Juli,26.66,88.02,7,35.45,560.35,337.26
Jawa Tengah,Jepara,Kalinyamatan,Agustus,79.48,434.16,8,26.66,35.45,560.35
Jawa Tengah,Jepara,Kalinyamatan,September,142.65,415.23,9,79.48,26.66,35.45
Jawa Tengah,Jepara,Kalinyamatan,Oktober,89.78,35.54,10,142.65,79.48,26.66
Jawa Tengah,Jepara,Kalinyamatan,November,41.36,66.49,11,89.78,142.65,79.48
Jawa Tengah,Jepara,Kalinyamatan,Desember,178.45,117.73,12,41.36,89.78,142.65
Jawa Tengah,Jepara,Karimunjawa,April,0.0,0.0,4,0.0,0.0,0.0
Jawa Tengah,Jepara,Karimunjawa,Mei,0.0,0.0,5,0.0,0.0,0.0
Jawa Tengah,Jepara,Karimunjawa,Juni,0.0,0.0,6,0.0,0.0,0.0
Jawa Tengah,Jepara,Karimunjawa,Juli,0.0,0.0,7,0.0,0.0,0.0
Jawa Tengah,Jepara,Karimunjawa,Agustus,0.0,0.0,8,0.0,0.0,0.0
Jawa Tengah,Jepara,Karimunjawa,September,0.0,0.0,9,0.0,0.0,0.0
Jawa Tengah,Jepara,Karimunjawa,Oktober,0.0,0.0,10,0.0,0.0,0.0
Jawa Tengah,Jepara,Karimunjawa,November,0.0,0.0,11,0.0,0.0,0.0
Jawa Tengah,Jepara,Karimunjawa,Desember,0.0,0.0,12,0.0,0.0,0.0
Jawa Tengah,Jepara,Kedung,April,650.69,154.14,4,654.51,9.81,48.17
Jawa Tengah,Jepara,Kedung,Mei,143.29,33.03,5,650.69,654.51,9.81
Jawa Tengah,Jepara,Kedung,Juni,5.2,41.95,6,143.29,650.69,654.51
Jawa Tengah,Jepara,Kedung,Juli,32.43,937.03,7,5.2,143.29,650.69
Jawa Tengah,Jepara,Kedung,Agustus,55.7,390.79,8,32.43,5.2,143.29
Jawa Tengah,Jepara,Kedung,September,69.44,93.18,9,55.7,32.43,5.2
Jawa Tengah,Jepara,Kedung,Oktober,116.64,21.51,10,69.44,55.7,32.43
Jawa Tengah,Jepara,Kedung,November,516.24,61.14,11,116.64,69.44,55.7
Jawa Tengah,Jepara,Kedung,Desember,708.02,39.18,12,516.24,116.64,69.44
Jawa Tengah,Jepara,Keling,April,93.22,246.25,4,174.66,371.15,707.52
Jawa Tengah,Jepara,Keling,Mei,224.68,573.11,5,93.22,174.66,371.15
Jawa Tengah,Jepara,Keling,Juni,200.93,355.5,6,224.68,93.22,174.66
Jawa Tengah,Jepara,Keling,Juli,162.0,168.07,7,200.93,224.68,93.22
Jawa Tengah,Jepara,Keling,Agustus,368.28,132.8,8,162.0,200.93,224.68
Jawa Tengah,Jepara,Keling,September,584.59,171.81,9,368.28,162.0,200.93
Jawa Tengah,Jepara,Keling,Oktober,213.98,166.17,10,584.59,368.28,162.0
Jawa Tengah,Jepara,Keling,November,91.78,322.32,11,213.98,584.59,368.28
Jawa Tengah,Jepara,Keling,Desember,75.51,389.16,12,91.78,213.98,584.59
Jawa Tengah,Jepara,Kembang,April,183.58,403.56,4,145.21,186.05,967.3
Jawa Tengah,Jepara,Kembang,Mei,401.55,654.92,5,183.58,145.21,186.05
Jawa Tengah,Jepara,Kembang,Juni,105.92,274.84,6,401.55,183.58,145.21
Jawa Tengah,Jepara,Kembang,Juli,270.29,178.45,7,105.92,401.55,183.58
Jawa Tengah,Jepara,Kembang,Agustus,523.81,196.79,8,270.29,105.92,401.55
Jawa Tengah,Jepara,Kembang,September,429.44,275.76,9,523.81,270.29,105.92
Jawa Tengah,Jepara,Kembang,Oktober,117.42,161.81,10,429.44,523.81,270.29
Jawa Tengah,Jepara,Kembang,November,120.32,447.95,11,117.42,429.44,523.81
Jawa Tengah,Jepara,Kembang,Desember,276.69,480.73,12,120.32,117.42,429.44
Jawa Tengah,Jepara,Mayong,April,676.35,321.68,4,374.5,106.38,166.64
Jawa Tengah,Jepara,Mayong,Mei,141.45,119.28,5,676.35,374.5,106.38
Jawa Tengah,Jepara,Mayong,Juni,22.07,296.51,6,141.45,676.35,374.5
Jawa Tengah,Jepara,Mayong,Juli,179.33,413.17,7,22.07,141.45,676.35
Jawa Tengah,Jepara,Mayong,Agustus,283.22,488.75,8,179.33,22.07,141.45
Jawa Tengah,Jepara,Mayong,September,445.54,94.04,9,283.22,179.33,22.07
Jawa Tengah,Jepara,Mayong,Oktober,460.46,41.11,10,445.54,283.22,179.33
Jawa Tengah,Jepara,Mayong,November,388.6,278.22,11,460.46,445.54,283.22
Jawa Tengah,Jepara,Mayong,Desember,581.9,241.23,12,388.6,460.46,445.54
Jawa Tengah,Jepara,Mlonggo,April,115.28,716.85,4,17.17,35.15,510.45
Jawa Tengah,Jepara,Mlonggo,Mei,727.64,149.65,5,115.28,17.17,35.15
Jawa Tengah,Jepara,Mlonggo,Juni,69.86,37.53,6,727.64,115.28,17.17
Jawa Tengah,Jepara,Mlonggo,Juli,18.37,35.84,7,69.86,727.64,115.28
Jawa Tengah,Jepara,Mlonggo,Agustus,39.68,368.9,8,18.37,69.86,727.64
Jawa Tengah,Jepara,Mlonggo,September,107.73,469.95,9,39.68,18.37,69.86
Jawa Tengah,Jepara,Mlonggo,Oktober,18.23,56.06,10,107.73,39.68,18.37
Jawa Tengah,Jepara,Mlonggo,November,25.96,34.43,11,18.23,107.73,39.68
Jawa Tengah,Jepara,Mlonggo,Desember,459.49,74.36,12,25.96,18.23,107.73
Jawa Tengah,Jepara,Nalumsari,April,630.38,279.76,4,461.6,74.48,129.05
Jawa Tengah,Jepara,Nalumsari,Mei,65.36,104.62,5,630.38,461.6,74.48
Jawa Tengah,Jepara,Nalumsari,Juni,43.8,320.82,6,65.36,630.38,461.6
Jawa Tengah,Jepara,Nalumsari,Juli,377.04,527.49,7,43.8,65.36,630.38
Jawa Tengah,Jepara,Nalumsari,Agustus,433.04,326.52,8,377.04,43.8,65.36
Jawa Tengah,Jepara,Nalumsari,September,356.08,75.61,9,433.04,377.04,43.8
Jawa Tengah,Jepara,Nalumsari,Oktober,209.03,84.9,10,356.08,433.04,377.04
Jawa Tengah,Jepara,Nalumsari,November,207.17,590.75,11,209.03,356.08,433.04
Jawa Tengah,Jepara,Nalumsari,Desember,766.12,244.82,12,207.17,209.03,356.08
Jawa Tengah,Jepara,Pakis Aji,April,252.65,215.35,4,99.04,96.16,360.45
Jawa Tengah,Jepara,Pakis Aji,Mei,250.36,224.12,5,252.65,99.04,96.16
Jawa Tengah,Jepara,Pakis Aji,Juni,43.04,156.7,6,250.36,252.65,99.04
Jawa Tengah,Jepara,Pakis Aji,Juli,112.1,200.43,7,43.04,250.36,252.65
Jawa Tengah,Jepara,Pakis Aji,Agustus,305.83,175.58,8,112.1,43.04,250.36
